# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
6.1	0.00417289250409	-0.236166147555
6.12	0.00416658714146	-0.236215732359
6.14	0.00416030091722	-0.236265572913
6.16	0.00415403650844	-0.236315698633
6.18	0.0041477965834	-0.236366139234
6.2	0.00414158380064	-0.236416924726
6.22	0.00413540080815	-0.236468085402
6.24	0.0041292502424	-0.236519651823
6.26	0.00412313472746	-0.236571654813
6.28	0.00411705687413	-0.236624125442
6.3	0.00411101927906	-0.236677095015
6.32	0.00410502452379	-0.23673059506
6.34	0.00409907517393	-0.236784657314
6.36	0.00409317377827	-0.236839313711
6.38	0.00408732286784	-0.236894596364
6.4	0.00408152495507	-0.236950537555
6.42	0.00407578253292	-0.237007169717
6.44	0.00407009807396	-0.23706452542
6.46	0.00406447402955	-0.237122637357
6.48	0.00405891282892	-0.237181538325
6.5	0.00405341687832	-0.237241261208
6.52	0.00404798856016	-0.237301838966
6.54	0.00404263023218	-0.237363304611
6.56	0.00403734422651	-0.237425691194
6.58	0.00403213284891	-0.237489031785
6.6	0.00402699837787	-0.237553359457
6.62	0.00402194306378	-0.237618707265
6.64	0.00401696912809	-0.237685108229
6.66	0.0040120787625	-0.237752595317
6.68	0.00400727412807	-0.23782120142
6.7	0.00400255735448	-0.237890959339
6.72	0.00399793053914	-0.237961901762
6.74	0.00399339574645	-0.238034061243
6.76	0.00398895500691	-0.238107470185
6.78	0.0039846103164	-0.238182160819
6.8	0.00398036363534	-0.23825816518
6.82	0.00397621688791	-0.238335515093
6.84	0.00397217196128	-0.238414242147
6.86	0.00396823070486	-0.238494377675
6.88	0.00396439492946	-0.238575952734
6.9	0.00396066640662	-0.238658998086
6.92	0.00395704686778	-0.238743544173
6.94	0.00395353800362	-0.2388296211
6.96	0.00395014146322	-0.238917258611
6.98	0.00394685885343	-0.239006486068
7.0	0.00394369173809	-0.239097332432
7.02	0.00394064163733	-0.239189826243
7.04	0.00393771002688	-0.239283995595
7.06	0.00393489833736	-0.239379868118
7.08	0.00393220795359	-0.239477470959
7.1	0.00392964021392	-0.239576830758
7.12	0.00392719640958	-0.239677973629
7.14	0.00392487778399	-0.239780925143
7.16	0.00392268553209	-0.239885710303
7.18	0.00392062079979	-0.239992353528
7.2	0.00391868468322	-0.240100878633
7.22	0.00391687822821	-0.240211308808
7.24	0.00391520242961	-0.240323666603
7.26	0.00391365823074	-0.240437973905
7.28	0.00391224652276	-0.240554251923
7.3	0.00391096814412	-0.24067252117
7.32	0.00390982387996	-0.240792801445
7.34	0.00390881446161	-0.240915111815
7.36	0.00390794056597	-0.2410394706
7.38	0.00390720281503	-0.241165895357
7.4	0.00390660177535	-0.241294402863
7.42	0.0039061379575	-0.241425009099
7.44	0.0039058118156	-0.241557729239
7.46	0.00390562374685	-0.241692577633
7.48	0.00390557409101	-0.241829567793
7.5	0.00390566312998	-0.24196871238
7.52	0.00390589108733	-0.242110023193
7.54	0.00390625812787	-0.242253511155
7.56	0.00390676435725	-0.242399186303
7.58	0.00390740982152	-0.242547057776
7.6	0.00390819450677	-0.242697133803
7.62	0.00390911833873	-0.242849421696
7.64	0.00391018118241	-0.243003927842
7.66	0.00391138284177	-0.24316065769
7.68	0.00391272305936	-0.243319615743
7.7	0.00391420151601	-0.243480805557
7.72	0.00391581783056	-0.243644229728
7.74	0.0039175715595	-0.243809889886
7.76	0.00391946219679	-0.243977786693
7.78	0.00392148917353	-0.244147919836
7.8	0.00392365185777	-0.244320288023
7.82	0.00392594955427	-0.244494888979
7.84	0.00392838150431	-0.244671719442
7.86	0.00393094688547	-0.244850775162
7.88	0.00393364481152	-0.2450320509
7.9	0.00393647433223	-0.245215540424
7.92	0.00393943443322	-0.245401236509
7.94	0.00394252403593	-0.245589130939
7.96	0.00394574199743	-0.245779214504
7.98	0.00394908711042	-0.245971477005
8.0	0.00395255810313	-0.246165907252
8.02	0.00395615363932	-0.246362493068
8.04	0.00395987231825	-0.24656122129
8.06	0.00396371267467	-0.246762077775
8.08	0.0039676731789	-0.246965047401
8.1	0.00397175223682	-0.247170114072
8.12	0.00397594819	-0.247377260723
8.14	0.00398025931574	-0.247586469323
8.16	0.00398468382722	-0.247797720885
8.18	0.00398921987364	-0.248010995467
8.2	0.00399386554035	-0.24822627218
8.22	0.00399861884907	-0.248443529198
8.24	0.00400347775808	-0.248662743758
8.26	0.00400844016246	-0.248883892176
8.28	0.00401350389433	-0.249106949848
8.3	0.00401866672316	-0.249331891261
8.32	0.00402392635605	-0.249558690001
8.34	0.00402928043807	-0.249787318763
8.36	0.00403472655262	-0.250017749355
8.38	0.00404026222179	-0.250249952716
8.4	0.00404588490682	-0.250483898916
8.42	0.00405159200845	-0.250719557172
8.44	0.00405738086746	-0.250956895855
8.46	0.00406324876513	-0.251195882502
8.48	0.00406919292373	-0.251436483823
8.5	0.00407521050708	-0.251678665713
8.52	0.00408129862112	-0.251922393264
8.54	0.00408745431452	-0.252167630773
8.56	0.00409367457926	-0.252414341752
8.58	0.00409995635134	-0.252662488943
8.6	0.00410629651139	-0.252912034322
8.62	0.00411269188546	-0.253162939116
8.64	0.00411913924569	-0.253415163809
8.66	0.00412563531111	-0.253668668154
8.68	0.00413217674842	-0.253923411186
8.7	0.00413876017283	-0.254179351228
8.72	0.00414538214891	-0.254436445906
8.74	0.00415203919145	-0.254694652156
8.76	0.00415872776639	-0.254953926236
8.78	0.00416544429178	-0.255214223735
8.8	0.00417218513871	-0.255475499585
8.82	0.00417894663236	-0.255737708069
8.84	0.00418572505297	-0.256000802833
8.86	0.00419251663695	-0.256264736891
8.88	0.00419931757796	-0.256529462642
8.9	0.00420612402801	-0.256794931872
8.92	0.00421293209862	-0.257061095767
8.94	0.00421973786201	-0.257327904922
8.96	0.0042265373523	-0.257595309348
8.98	0.00423332656672	-0.257863258483
9.0	0.00424010146691	-0.258131701195
9.02	0.00424685798023	-0.258400585799
9.04	0.00425359200103	-0.258669860057
9.06	0.00426029939205	-0.258939471188
9.08	0.00426697598576	-0.259209365879
9.1	0.00427361758582	-0.259479490285
9.12	0.00428021996848	-0.259749790044
9.14	0.00428677888407	-0.260020210279
9.16	0.00429329005844	-0.260290695604
9.18	0.00429974919457	-0.260561190132
9.2	0.00430615197403	-0.260831637484
9.22	0.00431249405859	-0.261101980787
9.24	0.00431877109184	-0.261372162686
9.26	0.00432497870078	-0.26164212535
9.28	0.00433111249746	-0.261911810471
9.3	0.00433716808071	-0.262181159273
9.32	0.00434314103778	-0.262450112517
9.34	0.00434902694609	-0.262718610506
9.36	0.00435482137496	-0.262986593084
9.38	0.00436051988742	-0.263253999646
9.4	0.00436611804192	-0.263520769139
9.42	0.00437161139422	-0.263786840066
9.44	0.00437699549917	-0.264052150488
9.46	0.00438226591257	-0.264316638032
9.48	0.00438741819307	-0.264580239886
9.5	0.00439244790401	-0.26484289281
9.52	0.00439735061535	-0.265104533132
9.54	0.00440212190562	-0.265365096756
9.56	0.00440675736379	-0.26562451916
9.58	0.00441125259129	-0.265882735401
9.6	0.00441560320394	-0.266139680116
9.62	0.00441980483394	-0.266395287523
9.64	0.00442385313188	-0.266649491425
9.66	0.0044277437687	-0.266902225209
9.68	0.00443147243778	-0.26715342185
9.7	0.00443503485687	-0.267403013913
9.72	0.0044384267702	-0.26765093355
9.74	0.0044416439505	-0.267897112507
9.76	0.00444468220103	-0.268141482121
9.78	0.00444753735763	-0.268383973325
9.8	0.00445020529082	-0.268624516645
9.82	0.00445268190781	-0.268863042205
9.84	0.00445496315458	-0.269099479728
9.86	0.00445704501795	-0.269333758532
9.88	0.00445892352762	-0.269565807539
9.9	0.00446059475827	-0.269795555271
9.92	0.00446205483155	-0.270022929852
9.94	0.00446329991822	-0.270247859011
9.96	0.0044643262401	-0.270470270081
9.98	0.00446513007219	-0.270690090003
10.0	0.00446570774466	-0.270907245327
10.02	0.00446605564489	-0.27112166221
10.04	0.00446617021945	-0.271333266424
10.06	0.00446604797614	-0.271541983352
10.08	0.00446568548596	-0.271747737992
10.1	0.00446507938507	-0.271950454962
10.12	0.00446422637674	-0.272150058495
10.14	0.00446312323333	-0.272346472451
10.16	0.00446176679815	-0.27253962031
10.18	0.00446015398738	-0.27272942518
10.2	0.00445828179196	-0.272915809801
10.22	0.00445614727941	-0.273098696542
10.24	0.0044537475957	-0.273278007411
10.26	0.004451079967	-0.273453664053
10.28	0.00444814170149	-0.273625587759
10.3	0.00444493019108	-0.273793699462
